id,course,wandCore,sex,bloodStatus,house,result,Defence against the dark arts exam,Flying exam,Astronomy exam,Herbology exam,Divinations exam,Charms exam,History of magic exam,Arithmancy exam,Muggle studies exam,Study of ancient runes exam,Transfiguration exam,Potions exam,Care of magical creatures exam,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40
11,7,unicorn hair,male,half-blood,Hufflepuff,48,48,46,65,74,21,50,17,61,56,52,55,21,80.1014253880155,-3,8,4,-4,-7,-10,-4,6,-1,0,14,-7,3,-9,12,-3,-10,10,10,-7,-12,6,-13,1,-12,-3,-4,-9,-4,8,6,17,18,13,10,12,-4,12,0,4
12,5,dragon heartstring,male,half-blood,Slytherin,-171,9,37,30,59,59,22,0,30,0,21,21,83,97.22845061653966,-6,-21,-7,16,-10,-5,-15,-7,-18,-1,-1,-4,-2,-21,2,-1,0,8,-6,2,-24,-6,1,-1,-15,-5,-8,24,-5,-4,-9,-7,-5,-2,-1,-6,-1,-6,6,0
13,6,dragon heartstring,female,muggle-born,Hufflepuff,-6,29,30,45,88,11,29,20,49,27,3,32,50,89.91222477104873,6,-5,1,1,11,1,0,-8,-4,4,6,3,-5,-5,-3,1,4,-1,10,-19,11,7,0,-13,-5,-10,-3,2,1,-5,-2,-5,15,-6,-2,-1,7,8,1,-4
14,2,unicorn hair,female,muggle-born,Ravenclaw,171,86,58,87,100,17,61,23,71,54,64,42,31,97.88982791942544,18,-6,-4,22,7,21,8,12,-5,-1,5,-12,14,0,-4,1,1,9,1,10,-1,-22,2,-3,20,-3,6,-20,14,2,17,2,15,-4,24,2,5,13,-6,11
15,2,phoenix feather,female,half-blood,Ravenclaw,55,56,25,60,71,4,54,14,42,47,56,61,8,95.65389684285037,-8,14,9,12,13,7,0,2,1,5,11,8,21,0,-8,6,-25,8,-7,-10,7,-20,-7,1,12,-24,1,3,2,12,-8,4,15,-3,-5,0,7,0,-3,2
16,7,dragon heartstring,female,muggle-born,Hufflepuff,46,84,32,47,79,4,58,23,51,48,58,58,9,91.91721098613925,3,-26,4,-3,2,1,7,-8,-13,-5,3,1,15,-3,6,13,-19,6,1,-1,-13,12,5,-4,14,26,4,1,-1,6,5,3,5,-2,-9,5,-11,8,1,7
17,4,unicorn hair,male,half-blood,Ravenclaw,130,58,64,54,100,34,48,30,50,60,49,51,2,98.61870543682016,-10,7,21,1,0,9,-5,-1,13,5,6,-16,-6,8,5,2,18,22,0,0,-9,22,1,8,-8,4,1,2,13,20,3,6,-3,-5,-8,-3,7,1,-4,3
18,4,dragon heartstring,male,pure-blood,Ravenclaw,110,47,60,63,100,10,71,27,62,66,99,73,11,98.45548005541787,4,18,-2,7,21,0,9,3,-3,-5,-3,-1,3,-13,0,17,4,7,22,-3,22,-8,-2,18,-12,7,5,6,4,-24,5,3,1,-11,17,-11,7,-14,11,1
19,6,unicorn hair,female,half-blood,Hufflepuff,60,61,48,42,100,2,59,35,45,50,60,51,2,77.79576447897374,2,-3,-9,-1,-8,0,17,11,-1,-1,13,-1,7,-6,0,16,-5,23,6,1,1,1,0,-1,-3,8,-7,4,-15,-15,4,2,1,22,0,-4,-19,3,-1,18
20,7,phoenix feather,female,pure-blood,Ravenclaw,109,67,64,67,98,15,44,30,50,38,41,38,58,78.71266031042707,-1,8,-6,2,-6,2,8,6,8,0,17,3,-1,12,2,-6,-18,-1,3,2,-2,0,-1,1,-3,-4,7,6,8,2,23,0,18,5,10,1,-3,-2,10,-1
21,3,dragon heartstring,female,half-blood,Hufflepuff,72,57,74,51,92,20,58,15,56,57,57,65,58,92.97438330249861,16,-6,10,-1,10,-2,8,5,4,21,13,20,-7,-18,1,-22,12,7,0,-3,6,14,-6,3,-6,-9,4,-18,15,6,-2,-13,7,7,4,-14,-2,-1,12,-3
22,5,dragon heartstring,male,half-blood,Gryffindor,141,78,66,65,93,2,70,21,80,71,48,65,43,70.19983444958751,1,9,3,16,6,5,-2,4,5,-1,6,-3,-12,4,8,15,-2,-25,-21,5,-4,16,6,3,9,13,8,6,-6,0,7,2,6,-7,2,7,7,20,15,10
23,4,phoenix feather,male,muggle-born,Gryffindor,63,34,36,58,96,11,65,26,87,61,86,57,28,56.14587080461828,-2,9,8,-8,4,14,0,6,7,-3,2,17,-8,1,4,7,8,-9,27,-21,2,-9,7,0,15,10,-4,1,4,-6,-3,6,-9,2,-9,-1,0,-1,1,-6
24,2,phoenix feather,female,half-blood,Hufflepuff,199,91,67,80,100,12,71,45,60,86,81,76,45,97.86726707978075,-10,22,9,-4,12,11,18,10,-10,3,8,-7,-3,7,9,10,-9,-15,5,-2,8,-2,10,1,1,3,18,18,3,21,4,0,12,4,3,6,2,6,14,3
25,4,dragon heartstring,female,pure-blood,Gryffindor,54,75,53,34,98,5,53,10,37,46,53,78,37,91.96379260974936,16,3,3,8,12,12,1,-7,-23,-3,3,-1,-5,10,16,18,5,-9,20,4,-2,-7,0,-4,24,8,-22,-10,-14,9,-1,1,-7,-1,0,1,5,9,-1,-17
26,2,dragon heartstring,male,half-blood,Ravenclaw,44,75,37,36,86,12,44,3,53,54,43,60,68,97.6212068577297,26,7,15,-2,-11,-25,3,14,-1,-12,1,1,-1,-4,-3,-11,1,1,-4,5,11,21,-3,-3,-2,6,-5,-3,8,3,8,7,3,-8,-2,3,-2,-5,1,6
27,5,dragon heartstring,female,half-blood,Ravenclaw,38,68,55,51,100,4,52,28,61,56,52,48,10,91.98681896086782,6,6,-1,-4,-16,9,5,2,10,-2,14,5,-6,20,4,6,-8,-2,-6,-11,1,1,-2,-12,-1,6,10,-8,-1,-3,-5,6,-9,6,9,4,1,6,-6,4
28,3,phoenix feather,male,pure-blood,Gryffindor,-8,32,39,50,100,6,35,0,29,53,78,41,0,82.01294362184375,-1,-2,12,-4,8,1,0,-10,-3,-2,-10,9,-1,2,-23,-11,-3,-11,8,-3,-12,12,11,-2,4,4,3,-1,-6,10,11,14,14,-10,6,3,-2,-17,3,-9
29,3,dragon heartstring,male,half-blood,Slytherin,-133,5,27,6,61,21,23,0,7,19,0,19,84,90.88899397809416,5,2,10,-4,-5,2,3,-20,-5,7,2,1,-13,-6,2,-5,8,-4,-25,-8,-20,-15,6,-3,2,-11,0,-12,-3,8,4,-7,-4,-5,-1,-5,-3,-4,-2,-5
30,3,dragon heartstring,female,half-blood,Slytherin,88,70,52,62,91,4,58,29,69,66,58,71,96,97.32181169092655,2,7,-4,0,-4,5,1,4,-3,3,-3,3,-6,1,-50,50,0,0,0,5,0,0,25,-5,0,0,8,8,0,0,0,5,0,0,25,-5,0,0,8,8
31,4,dragon heartstring,female,pure-blood,Ravenclaw,25,36,47,38,64,9,44,0,39,50,45,51,52,88.02393315179631,-2,6,13,6,-5,-25,-1,0,25,-6,1,3,4,-2,-3,1,-6,12,-2,-11,4,-8,-2,16,16,-25,1,6,-20,9,4,4,9,9,-5,-10,2,-5,3,9
32,2,unicorn hair,male,half-blood,Hufflepuff,6,9,60,37,70,19,44,19,51,20,46,46,53,89.48386060126484,-2,-6,-5,9,10,-10,-8,7,-4,3,-7,20,-5,-3,5,24,-6,4,-5,5,-1,1,19,-5,3,2,-4,-8,-2,9,-1,-4,2,-15,-19,2,-4,0,4,1
33,7,unicorn hair,female,half-blood,Hufflepuff,42,74,53,45,85,14,50,18,40,61,51,48,5,52.02892024798243,4,-19,12,2,16,0,-4,10,19,-16,-18,-3,4,3,-12,10,7,-4,-15,0,0,23,-1,1,4,5,4,1,5,7,30,9,12,-26,-8,3,-3,-10,-8,-2
34,6,dragon heartstring,female,half-blood,Slytherin,107,81,40,48,97,9,71,25,55,62,33,69,80,86.06112686736867,1,1,-3,-3,10,9,2,5,-5,7,-2,0,-15,7,-4,8,0,-5,-4,7,-7,15,20,-9,7,1,-7,-4,-19,2,25,-3,-3,13,2,6,14,23,11,4
35,1,phoenix feather,male,muggle-born,Gryffindor,31,62,42,57,92,4,48,26,42,40,48,40,66,73.35988816497057,-20,5,0,6,-7,9,4,7,-10,21,-12,10,-12,-1,4,6,-3,-2,3,2,4,-3,1,6,-8,18,-4,-22,12,19,9,0,2,1,-8,5,-2,-8,-8,7
36,1,dragon heartstring,male,pure-blood,Ravenclaw,107,67,52,60,91,5,44,13,42,73,46,41,54,86.72940210724607,26,9,4,-2,-9,10,-9,5,16,-7,-3,-2,2,1,-2,3,6,-2,8,1,0,3,12,1,6,1,1,-1,6,0,-5,10,1,14,5,0,-1,0,1,-2
37,4,dragon heartstring,male,pure-blood,Gryffindor,-18,14,56,34,59,24,52,2,38,54,54,58,67,99.72927653362892,1,-3,10,20,0,-3,6,-3,-3,3,-5,7,0,0,-22,-8,-4,-3,-6,5,5,1,-14,-11,5,-19,-10,-1,14,-3,9,16,5,0,-11,-5,8,5,2,-6
38,3,dragon heartstring,female,half-blood,Ravenclaw,84,79,61,50,80,0,71,19,58,51,85,80,22,87.33445714513198,2,3,-3,11,-9,20,3,1,-4,4,7,-18,2,5,-4,6,6,0,2,10,-5,14,-9,-7,1,17,-4,0,-3,9,11,-15,9,2,4,10,9,-18,-4,19
39,2,phoenix feather,male,muggle-born,Ravenclaw,194,88,62,77,100,21,71,33,71,81,76,76,45,94.4846507976763,7,16,14,6,3,21,-18,-5,-2,16,-1,-2,-1,21,-10,5,-10,23,-4,9,2,-24,-13,6,1,16,18,2,24,19,-1,2,-8,12,11,3,4,26,-4,10
40,2,unicorn hair,female,half-blood,Slytherin,175,84,71,57,93,39,81,38,66,71,87,68,92,98.37030206108466,3,-2,12,7,6,7,12,-9,1,14,1,0,-3,1,-15,22,8,-5,-6,8,3,18,-23,15,4,18,-1,14,3,-3,-5,4,-5,1,13,6,25,21,-5,10
41,5,phoenix feather,female,pure-blood,Gryffindor,71,66,45,63,85,19,63,5,62,50,61,54,18,91.1753414436838,14,-7,-2,12,-2,-7,-8,-11,-7,-8,3,-11,25,6,-2,6,4,5,4,-4,1,18,1,1,9,6,4,12,-5,4,-4,16,1,5,4,-19,-6,7,1,5
42,2,dragon heartstring,female,pure-blood,Ravenclaw,89,71,62,55,87,18,73,26,61,54,80,64,66,75.77203412707252,-1,7,5,1,3,9,-2,4,4,0,-2,5,4,0,0,7,-3,-2,3,3,18,24,4,0,-22,10,-2,3,-13,-8,-3,-2,-1,-1,-1,11,15,3,-15,24
43,5,phoenix feather,male,half-blood,Ravenclaw,188,78,65,83,100,27,64,42,77,76,89,52,42,94.13836768362671,3,4,22,2,4,-2,4,2,24,-5,1,20,3,8,5,4,11,5,19,-2,7,5,5,10,7,1,-3,1,2,4,3,5,-3,2,-2,8,5,3,-5,1
44,7,phoenix feather,male,half-blood,Gryffindor,-3,16,44,31,84,14,47,4,48,44,48,41,38,65.90149903361826,-15,6,14,5,5,-1,2,2,-9,8,14,-7,3,-1,10,-5,-15,-21,6,0,1,7,-19,6,-3,12,-15,12,-6,-17,-4,1,-1,9,0,8,-5,7,4,-1
45,2,dragon heartstring,male,pure-blood,Gryffindor,39,65,44,46,82,13,47,9,43,23,49,46,67,95.73774361279571,-1,2,4,-1,5,2,-13,6,12,-11,-9,12,-19,25,3,2,-9,-7,5,5,6,3,-5,5,15,-8,-1,-7,6,-2,3,10,-11,-2,-13,4,3,11,5,4
46,7,dragon heartstring,female,half-blood,Hufflepuff,-40,26,49,56,59,24,28,0,51,50,28,24,22,99.90361542583031,4,-22,9,-5,-18,-4,1,9,-5,-24,2,2,-9,-3,-5,-9,-14,-9,3,-2,6,5,-5,15,-8,1,3,4,24,-14,20,1,4,4,-20,6,0,-8,13,8
47,2,unicorn hair,female,pure-blood,Hufflepuff,3,47,42,14,83,7,36,2,44,50,36,48,18,48.43026635033934,0,5,-13,-9,4,1,-3,1,0,23,9,10,-3,10,2,-6,-5,5,7,-15,-25,8,25,-21,0,8,19,20,3,-2,1,25,3,-16,-20,-8,-2,-13,-3,-22
48,4,dragon heartstring,female,half-blood,Gryffindor,43,71,32,45,80,8,37,27,63,53,5,43,20,93.79443639190868,-1,-3,1,7,-2,-15,4,2,2,-14,0,-4,6,1,-5,2,22,-1,2,8,5,8,2,-2,-5,-3,-8,24,8,-5,-5,3,-3,9,3,9,2,-17,4,2
49,2,phoenix feather,female,half-blood,Ravenclaw,60,55,71,51,100,2,38,22,39,51,37,38,60,68.55179805000454,14,-9,10,3,6,-5,0,7,-4,-22,10,-8,3,7,5,-3,11,13,3,1,11,4,13,5,-1,2,5,2,-2,4,-3,3,-2,11,-14,-19,0,7,-6,-2
50,4,phoenix feather,female,half-blood,Slytherin,129,85,65,76,94,2,70,32,65,62,60,65,100,91.3952213828452,15,0,4,15,6,-6,4,5,-2,-9,-5,7,1,-16,1,10,1,24,4,6,-6,-4,2,-4,0,3,11,2,-5,24,22,-1,0,-3,2,8,10,0,-18,21
51,5,dragon heartstring,male,half-blood,Gryffindor,-89,11,27,28,47,7,13,0,27,46,19,19,58,94.09447188287135,7,-9,-2,6,-17,-20,1,-7,-17,-11,1,-21,-3,-9,13,-23,12,22,6,4,-1,-5,-23,7,5,4,13,-19,-3,-2,1,9,-19,-6,3,-1,0,-3,8,10
52,4,unicorn hair,male,half-blood,Gryffindor,13,30,32,35,85,9,33,26,50,40,24,28,56,95.92340025119483,2,4,0,-9,-1,2,12,-3,-24,-8,11,-1,-14,-6,-7,5,12,6,3,2,3,3,4,-6,1,11,-6,-8,-5,-3,7,-2,-5,9,-9,17,-2,12,-5,11
53,5,unicorn hair,female,pure-blood,Hufflepuff,-17,34,29,44,69,26,48,2,39,38,49,41,63,94.11710652625631,2,12,-23,-5,-16,-7,-2,1,4,2,-10,-5,4,2,7,-6,-9,-4,-1,3,1,-17,7,3,-7,-5,20,7,2,2,-4,0,-6,-7,3,5,10,9,6,5
54,4,phoenix feather,male,muggle-born,Ravenclaw,15,80,25,40,56,20,58,0,61,36,56,71,16,88.5880943392998,-2,4,16,-13,0,0,1,23,-1,8,-14,1,10,-2,7,-1,-1,3,-6,1,-2,4,-1,3,0,-1,-20,12,-1,2,6,-18,-2,-9,1,-4,-3,15,11,-12
55,6,dragon heartstring,female,half-blood,Gryffindor,-71,7,21,13,55,11,43,0,41,52,43,38,4,98.09714353177696,16,-16,2,-8,-3,-2,3,-2,-2,-8,-4,12,-8,15,5,0,7,-12,-10,-23,-7,4,-17,12,8,8,-1,-8,0,-8,6,-8,2,-2,1,-11,8,18,-18,-20
56,2,dragon heartstring,male,pure-blood,Slytherin,-117,17,30,7,60,28,18,0,41,35,8,18,78,68.64417591345467,-14,-8,10,-9,1,6,-12,-5,-7,-15,-2,0,3,14,-20,2,-8,-1,-16,-7,-3,-2,-7,2,-6,-5,2,1,-8,7,6,-2,6,5,3,-3,-7,-4,-20,6
57,7,unicorn hair,female,half-blood,Hufflepuff,-84,8,34,5,63,17,22,8,22,28,36,12,31,92.5927483709529,-4,2,10,3,-29,0,-9,-8,-8,-5,2,-2,7,0,0,2,2,23,-17,2,-10,5,-2,-2,-6,-4,1,3,-10,-6,-5,-5,-1,-4,0,-15,7,7,-1,-7
58,4,unicorn hair,male,half-blood,Slytherin,-155,0,16,14,49,41,18,0,17,26,4,8,82,94.61806989974497,7,-6,1,-6,8,2,-11,-3,0,-7,-22,6,-3,-9,-3,-8,10,-4,1,-1,2,-5,-10,-13,-2,-4,-1,-3,-4,-3,-18,3,2,2,-6,5,1,-29,-2,-22
59,2,phoenix feather,female,half-blood,Gryffindor,-31,25,31,29,52,14,36,0,32,35,61,37,44,97.08077348062375,1,-6,8,1,-5,0,11,0,-15,9,1,5,0,14,-3,-2,10,7,-12,1,1,-5,0,-6,5,1,-33,3,-4,-5,6,8,-2,2,-1,-4,-13,-10,-2,3
60,5,dragon heartstring,male,muggle-born,Gryffindor,0,73,47,30,71,20,43,11,46,29,43,38,60,81.85418548125281,4,-20,-4,8,-10,11,6,-1,9,12,-6,10,-3,9,5,-1,3,4,-8,-28,0,23,-10,-1,-15,1,19,-1,-5,-2,-18,4,-1,0,-3,4,11,-4,-1,-1
61,2,unicorn hair,female,half-blood,Ravenclaw,150,86,61,76,86,36,48,39,71,61,50,40,3,93.38957541622221,15,2,5,10,5,20,-7,9,0,0,-2,7,1,7,23,0,16,6,-1,1,4,-9,-4,3,-9,7,-22,23,2,-1,16,4,3,-6,0,0,-3,15,3,7
62,5,unicorn hair,male,muggle-born,Gryffindor,29,27,35,44,76,1,50,23,41,45,52,37,1,96.12542031682096,0,-6,-8,10,-1,1,3,17,7,1,1,-2,21,9,-6,3,12,-2,7,7,4,-3,3,-1,-2,6,14,1,-14,-13,-10,-19,3,-8,11,1,-10,-17,-4,13
63,2,dragon heartstring,female,half-blood,Ravenclaw,36,61,49,41,82,3,43,16,52,46,44,41,18,87.00762321293712,1,4,-6,4,1,7,9,-4,-5,25,8,-4,-2,5,1,-3,15,-4,8,2,-2,4,-5,-5,-5,8,6,-3,-7,0,16,7,-8,-8,-7,-8,-3,-2,-3,-1
64,2,dragon heartstring,female,half-blood,Hufflepuff,65,54,49,61,78,13,27,15,56,40,46,16,15,79.08385836158662,17,-8,-22,4,-4,-5,1,2,-1,0,11,27,-5,13,5,5,26,4,7,13,-24,-1,6,-4,-3,-1,-2,3,-2,-9,10,3,7,8,-15,4,-1,-5,-1,2
65,1,phoenix feather,female,half-blood,Slytherin,84,61,48,55,89,25,52,6,41,54,52,37,73,70.23947620786078,-2,-3,-8,0,3,4,-4,3,8,10,6,2,3,2,-4,7,13,-7,-21,-10,10,5,-19,3,1,22,0,5,2,-8,19,1,11,1,9,-3,21,-14,-9,25
66,4,dragon heartstring,female,half-blood,Hufflepuff,86,74,63,49,86,14,59,18,38,42,58,74,33,95.63336445717141,9,-1,2,3,1,0,-10,3,13,13,27,1,-5,-3,3,5,-6,3,-2,-25,5,-6,8,-3,22,0,16,-2,-1,8,1,-1,2,16,-7,-2,3,-4,-1,1
67,3,unicorn hair,female,half-blood,Gryffindor,67,37,48,43,78,5,48,30,56,63,48,49,55,96.38229657633062,12,3,-1,1,5,-4,18,-1,-1,17,2,0,-3,1,-2,-6,-6,9,5,7,24,16,-2,11,-21,2,-5,1,13,-10,-7,-2,1,-10,-2,-21,0,5,21,-3
68,2,dragon heartstring,female,half-blood,Gryffindor,25,46,58,41,88,22,58,2,38,59,57,77,30,90.20054382142791,6,7,-2,1,4,-3,-2,3,4,-5,-5,0,1,0,-6,-5,-1,15,-7,-9,7,-3,15,3,6,4,-1,-5,5,4,-6,4,11,12,-11,-1,13,-15,-13,0
69,5,phoenix feather,male,half-blood,Gryffindor,-49,34,38,39,77,16,83,0,31,40,6,11,27,92.26204254082404,6,4,-5,-1,5,-7,-9,5,5,-9,-7,4,4,3,-21,-7,26,-8,3,2,-10,-13,5,-1,1,-1,6,-1,2,2,-14,-13,-1,3,-5,10,8,3,-23,0
70,5,phoenix feather,female,pure-blood,Gryffindor,89,69,35,69,89,1,52,8,63,53,49,54,24,92.44854764547199,-15,9,-3,11,-7,-1,11,4,-3,17,12,4,4,-7,-9,-7,6,0,8,-4,4,6,0,7,27,-1,-1,-1,1,-6,10,2,0,-1,8,1,-5,-3,8,3
71,7,dragon heartstring,female,pure-blood,Slytherin,168,91,61,63,100,18,69,28,67,70,72,68,87,83.68273673165947,5,0,-9,30,24,0,7,2,-1,0,6,-5,-6,4,-2,-1,-1,11,8,2,14,11,-1,24,21,-1,3,0,-3,6,-1,9,9,-6,-4,7,0,-2,10,-2
72,3,unicorn hair,female,half-blood,Hufflepuff,11,85,54,65,73,14,40,19,25,34,40,46,50,95.82778479089029,-21,9,-1,6,-7,-7,-16,2,-6,3,3,-3,12,-8,22,-24,-2,5,-1,0,10,-1,0,5,4,-13,-4,1,-1,-2,-4,-1,7,26,-8,16,15,-3,0,-2
73,7,phoenix feather,female,half-blood,Hufflepuff,-57,25,46,43,52,32,36,0,32,22,66,35,27,86.97370404895753,1,-8,-1,6,8,16,2,-1,-5,-25,22,-13,2,-6,-4,4,2,-5,-6,-7,3,-12,-7,-16,4,-6,6,-3,2,6,-22,18,6,7,-2,-4,-22,5,-3,1
74,2,dragon heartstring,male,half-blood,Gryffindor,-2,33,37,57,75,20,52,19,31,44,51,58,21,96.51421730522998,17,-1,20,14,3,5,4,-3,10,23,2,-17,1,19,-20,-3,3,7,-3,19,-9,-22,-24,0,-5,0,-2,-9,-1,1,-5,-29,2,-3,-1,3,-8,0,7,3
75,2,unicorn hair,male,pure-blood,Gryffindor,-20,44,28,34,55,17,28,0,12,40,12,15,48,85.33480286185056,3,10,-15,9,-6,-4,-9,-20,-9,-22,6,12,13,22,8,-8,2,3,-22,25,2,-2,-12,-7,-9,1,10,5,-1,2,6,1,1,-1,-28,-3,7,7,3,0
76,5,unicorn hair,female,half-blood,Hufflepuff,67,64,52,40,96,15,66,37,42,53,61,71,14,82.42918527778332,0,-6,-1,6,12,-2,-1,-7,6,-23,-3,1,2,1,10,0,2,11,-8,-1,1,-2,9,2,2,10,18,6,-3,0,22,-4,3,-20,-10,5,-2,9,8,14
77,3,dragon heartstring,male,half-blood,Ravenclaw,68,65,57,37,95,10,42,12,46,38,42,53,19,94.05475902021863,12,19,3,4,7,-4,-5,24,-2,-7,4,8,11,5,4,14,-3,7,6,-7,6,-2,-14,-6,-17,5,-22,-1,-16,0,-1,15,9,17,11,-22,-5,-1,8,4
78,4,dragon heartstring,male,half-blood,Ravenclaw,7,35,47,55,82,7,40,7,50,40,41,33,65,95.51905752159655,-3,1,4,-20,20,5,1,-2,1,0,9,7,-5,-3,4,8,-9,-7,9,20,2,5,-18,-1,-4,-1,1,6,-11,4,3,-27,3,-7,-7,3,-3,18,4,-3
79,4,unicorn hair,female,half-blood,Slytherin,130,87,66,66,93,5,71,36,46,65,84,70,92,99.29743483166993,3,-10,1,10,1,-17,4,-4,22,-2,16,6,1,7,-1,7,6,2,-4,3,17,-1,2,-1,0,11,13,-3,5,5,17,9,1,5,6,-7,2,5,-5,-2
80,7,unicorn hair,female,half-blood,Slytherin,168,73,59,77,100,24,72,40,87,94,91,68,93,81.00982633270644,0,6,1,-3,-2,7,8,13,11,7,11,-12,-19,1,-1,3,0,-16,2,4,1,1,24,5,4,-7,10,17,6,-13,5,10,6,22,11,20,16,-2,6,5
81,4,phoenix feather,male,half-blood,Gryffindor,132,71,66,69,100,1,71,46,42,61,68,74,53,97.13214247876884,-13,-1,4,1,6,-1,0,-5,1,4,24,-3,27,-6,-5,1,-15,-2,3,-11,5,2,7,12,13,4,-6,13,1,18,5,-15,19,21,3,3,3,-11,24,2
82,2,unicorn hair,male,half-blood,Hufflepuff,6,42,29,64,80,1,55,0,48,35,58,48,39,93.95089625031687,9,3,4,-11,26,7,9,10,2,-7,-4,-11,4,-14,2,2,1,-3,-5,-6,-16,5,-4,1,1,2,6,10,-8,-1,-21,-3,5,2,-1,7,3,-7,4,3
83,2,phoenix feather,male,pure-blood,Slytherin,-138,6,29,17,58,53,15,0,2,13,0,10,90,92.01159324147739,2,11,-3,-13,-7,6,7,-9,6,-3,-2,-2,4,-1,7,-7,-17,-9,-5,-12,-7,-3,-9,-4,-6,-22,-2,-15,0,2,8,-2,-12,-6,6,-4,-5,1,-7,-4
84,6,unicorn hair,female,half-blood,Gryffindor,33,11,46,54,100,13,49,12,40,27,49,43,25,97.96386473462917,11,6,7,-3,-15,-4,-9,9,5,-17,7,-1,10,10,3,-2,21,-3,0,0,-2,7,-5,3,-6,0,5,0,0,7,-1,-22,-5,1,1,-4,-1,9,0,11
85,7,dragon heartstring,male,muggle-born,Gryffindor,140,87,57,59,100,8,66,30,58,70,47,61,52,90.06471083319173,22,1,-25,23,-4,2,-4,0,-1,-2,7,0,-2,20,-1,5,-1,2,9,3,4,-1,15,4,2,5,5,-6,-1,23,-2,9,0,-1,4,1,3,1,-2,23
